season,event_type,start_datetime,start_datetime_est,event_id,opp_team_id,team_id,is_home,player_id,player_name,played,starter,position,primary_position,minutes,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,assists_turnover_ratio,personal_fouls,tech_fouls,flagrant_fouls,pls_min,points,double_double,triple_double,effective_fg_pct,efficiency,efficiency_game_score,points_in_paint,points_in_paint_att,points_in_paint_made,points_in_paint_pct,true_shooting_att,true_shooting_pct,fouls_drawn,offensive_fouls,points_off_turnovers,second_chance_pts,fast_break_pts,fast_break_att,fast_break_made,fast_break_pct,coach_ejections,minus,plus,defensive_rebounds_pct,offensive_rebounds_pct,rebounds_pct,steals_pct,turnovers_pct,coach_tech_fouls,second_chance_att,second_chance_made,second_chance_pct,defensive_rating,offensive_rating,fouled_out,ejected,not_playing_reason,not_playing_description,height_inches,weight_lbs,bmi,age,experience_year,draft_number
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1793,1787,1,57149,"Courtney Williams",1,1,G,SG,25.75,5,8,62.5,0,1,0,5,7,71.4,0,2,2,100,2,9,11,13,1,1,0,13,1,0,0,23,12,1,1,62.5,35,21.2,6,3,3,100,8.88,67.6,3,0,2,0,4,2,2,100,0,41,64,42.365401588703,11.095700416089,28.012096132421,1.8916196520366,10.121457489878,0,0,0,0,88.849124754284,160.67741054823,NULL,NULL,NULL,NULL,68,139,21.132569204152247,29.1589,7,8
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1793,1787,1,80224,"Robyn Parks",1,0,F,NA,7.8666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0,0,0,107.77140571536,65.396625564902,NULL,NULL,NULL,NULL,72,NULL,NULL,30.9699,9,NULL
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1793,1787,1,56759,"Rebekah Gardner",0,0,G,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,"DND - Injury/Illness",Foot,73,NULL,NULL,33.0000,1,NULL
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1787,1793,0,56742,"Azura Stevens",1,0,C,NA,24.916666666667,6,10,60,0,3,0,6,7,85.7,1,3,4,75,2,3,5,1,4,2,0,0.25,2,0,0,-7,15,0,0,60,13,10.2,12,7,6,85.7,11.76,63.8,2,1,2,2,0,0,0,0,0,51,44,17.200191113235,9.7294010337489,13.158616152201,4.1719105264256,25.380710659899,0,1,1,100,110.54162970457,98.827900900224,NULL,NULL,NULL,NULL,78,180,20.798816568047336,27.4301,5,6
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1787,1793,0,56863,"Chiney Ogwumike",0,0,F-C,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,"DND - Injury/Illness",Foot,75,183,22.87093333333333,31.2986,9,1
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1787,1793,0,56864,"Rae Burrell",1,0,G-F,NA,6.3166666666667,1,1,100,1,1,100,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,-1,3,0,0,150,5,4.7,0,0,0,0,1,150,0,0,0,0,0,0,0,0,0,14,13,0,19.189760343881,10.381345759804,8.2284575279113,0,0,0,0,0,104.83501385884,262.40772363438,NULL,NULL,NULL,NULL,74,168,21.56756756756757,23.0411,1,9
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1787,1793,0,56886,"Dearica Hamby",1,1,C,C,30.216666666667,5,8,62.5,0,0,0,5,8,62.5,1,2,2,100,3,9,12,2,1,1,0,2,1,0,0,2,12,1,0,62.5,22,14.2,10,8,5,62.5,8.88,67.6,1,0,4,6,2,3,1,33.3,0,61,63,42.549838468206,12.034297748583,26.041431193656,1.7200789401562,10.121457489878,0,3,3,100,111.43647900542,136.66954567859,NULL,NULL,NULL,NULL,75,189,23.6208,29.6685,9,6
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1787,1793,0,56868,"Jordin Canada",1,1,G,PG,15.616666666667,3,9,33.3,1,1,100,2,8,25,0,0,0,0,1,0,1,4,0,2,0,0,1,0,0,-8,7,0,0,38.9,8,7,2,5,1,20,9,38.9,1,0,0,0,0,2,0,0,0,36,28,0,7.7617153390899,4.1989607572126,6.6563567097185,0,0,2,0,0,108.55306981778,108.31847103658,NULL,NULL,NULL,NULL,66,135,21.787190082644628,27.9068,5,5
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1787,1793,0,56877,"Nneka Ogwumike",1,1,F,PF,26.2,6,12,50,0,0,0,6,12,50,1,2,2,100,3,2,5,1,2,1,0,0.5,1,0,0,-18,14,0,0,50,15,10,10,10,5,50,12.88,54.3,4,0,4,3,0,0,0,0,0,67,49,10.905125408942,13.879250520472,12.51407833813,1.9837806097348,13.440860215054,0,3,1,33.3,116.27991868019,106.44653552353,NULL,NULL,NULL,NULL,74,174,22.33783783783784,33.0192,11,1
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1787,1793,0,56862,"Lexie Brown",0,0,G,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,"NWT - Injury/Illness",Illness,69,162,23.920604914933836,28.6959,5,9
