event_id,team_id,player_id,position,starter,game_score,minutes,free_throws_made,free_throws_att,field_goals_made,field_goals_att,three_points_made,three_points_att,points,offensive_rebounds,defensive_rebounds,rebounds,assists,blocks,steals,turnovers,personal_fouls
164486,1788,56768,G,0,1.28155,7.51491,0.528352,0.625654,1.09317,3.35071,0.487137,1.0257,3.20183,0.246261,1.04317,1.28943,0.419034,0.0594273,0.263268,0.577707,1.19738
164486,1788,56770,F,1,7.71141,18.2687,1.35319,1.39942,3.64395,8.32072,0.830599,2.37631,9.47168,1.28427,3.35782,4.64209,2.33923,0.426084,0.990486,1.545,1.65597
164486,1788,56774,C,1,11.3078,29.6959,1.55968,2.31849,4.7078,8.24891,1.06768,2.96008,12.043,1.75055,4.69795,6.4485,2.44138,0.715472,1.00852,1.26447,2.82276
164486,1788,56779,G,1,14.4407,31.3244,3.25508,3.38926,6.17553,14.31,1.92617,5.43659,17.5323,0.288387,3.25547,3.54385,6.63382,0.618129,1.72727,2.65864,2.03653
164486,1788,56832,C,0,7.08836,18.7868,0.97827,1.5932,3.41828,5.41578,0.277879,0.138407,8.09271,1.72383,3.91467,5.6385,0.816256,1.15899,0.496432,1.536,2.64706
164486,1788,56859,F,1,14.7822,31.4141,3.95623,4.96675,7.56656,16.6122,1.43926,3.52873,20.5286,1.06841,4.38411,5.45252,4.2478,0.509172,1.8086,2.57662,3.41306
164486,1788,56860,C,0,1.64713,15.4596,1.05787,1.15002,1.51481,5.05509,0.415386,2.42982,4.50289,0.502174,1.61136,2.11354,0.698792,0.716589,0.24954,1.21791,1.85899
164486,1795,56884,C,0,4.43816,12.9176,0.941133,1.28992,2.12322,3.74246,0,0.426918,5.18757,1.11326,2.42752,3.54078,0.850882,0.580629,0.224478,1.04867,1.31217
164486,1795,56896,C,0,3.68975,13.2421,0.549393,0.658215,1.61825,3.24451,0.101225,0.415773,3.88711,0.995546,2.5129,3.50845,0.2857,0.645791,0.339643,0.627662,0.861869
164486,1795,56901,F,1,11.8158,29.2617,3.46364,3.86161,5.06145,12.1446,1.18207,3.58881,14.7686,2.13177,5.48499,7.61675,4.30114,0.460357,1.19592,2.65701,3.31661
164486,1795,56903,G,0,2.22583,7.51192,0.744223,0.819745,0.827731,2.43949,0.414679,1.41422,2.81436,0.13926,0.799325,0.938585,0.968862,0.151087,0.334038,0.519035,0.295036
164486,1795,56911,G,1,15.6912,34.0861,2.96634,3.17501,7.78566,17.1701,2.56466,7.27464,21.1023,0.49598,2.50914,3.00511,4.68723,0.0346551,1.35878,1.48878,1.74532
164486,1795,56913,C,1,11.5718,30.6832,1.86051,5.22272,5.57644,9.6173,0,0.433483,13.0134,3.91569,5.15564,9.07134,1.45462,1.43114,0.645428,1.28132,3.16758
164486,1795,56920,G,1,7.8318,26.4328,0.652179,0.697025,3.38633,7.37581,0.877073,2.53216,8.30191,0.535853,1.88056,2.41641,4.26345,0.311179,0.894848,1.27629,1.00925
164486,1795,56981,G,0,4.60564,12.5862,0.41114,0.717342,1.33085,2.53063,0.334962,0.754529,3.40781,0.439141,1.19138,1.63052,3.03718,0.00959285,0.573031,0.406772,1.01101
164486,1788,57129,F,0,2.89678,11.6729,0.373765,0.700301,1.60756,3.19908,0.364939,1.37866,3.95383,0.523826,1.47807,2.00189,0.589762,0.236873,0.36647,0.571726,1.28398
164486,1788,80226,G,0,6.25411,20.1551,0.811497,1.09066,3.09848,7.18161,1.79852,4.76595,8.80698,0.363175,1.8239,2.18708,1.695,0.197065,0.623605,0.950444,1.13116
164486,1795,80255,F,0,3.01523,7.57784,0.919417,0.897869,1.32867,3.16128,0.197388,0.915793,3.77414,0.898392,0.960786,1.85918,0.402033,0.340783,0.240823,0.344522,1.04869
164486,1788,80256,G,0,2.86844,11.4467,0.556416,0.642557,1.69858,3.87831,0.300503,1.08354,4.25408,0.587576,1.3228,1.91038,0.486252,0.466928,0.213958,0.476134,1.32245
164487,1787,56727,F,0,3.25545,5.81808,0.772997,0.995084,1.1807,1.99196,0.182041,0.275059,3.31644,0.822129,1.16623,1.98836,0.106275,0.254865,0.444401,0.338284,0.835847
164487,1797,56735,G,1,8.30634,25.7929,1.49251,1.67142,4.12809,9.55195,2.30831,5.97086,12.057,0.444812,3.2125,3.65731,3.15677,0.503701,1.2441,2.93996,1.96389
